# Atom, Total Energy [eV], Extrapolated to 0 K [eV], Total Mermin free energy [eV], Force related energy [eV]
H, -10.707200, -10.725100, -10.743100, -10.743100
He, -47.432900, -47.432900, -47.432900, -47.432900
Li, -4.901000, -4.918900, -4.936800, -4.936800
Be, -15.486300, -15.486300, -15.486300, -15.486300
B, -25.867800, -25.902800, -25.937700, -25.937700
C, -48.748700, -48.798100, -48.847500, -48.847500
N, -70.908100, -70.961900, -71.015600, -71.015600
O, -102.472400, -102.521800, -102.571200, -102.571200
F, -125.649300, -125.684200, -125.719200, -125.719200
Ne, -161.423800, -161.423800, -161.423800, -161.423800
Na, -4.553000, -4.570900, -4.588800, -4.588800
Mg, -12.680300, -12.680300, -12.680300, -12.680300
Al, -24.586300, -24.621200, -24.656200, -24.656200
Si, -42.662100, -42.711500, -42.760800, -42.760800
P, -64.604800, -64.658600, -64.712300, -64.712300
S, -85.570200, -85.619500, -85.668900, -85.668900
Cl, -121.926400, -121.961400, -121.996300, -121.996300
Ar, -116.438700, -116.438700, -116.438700, -116.438700
K, -4.520600, -4.538500, -4.556400, -4.556400
Ca, -10.115100, -10.115100, -10.115100, -10.115100
Sc, -23.180100, -23.222100, -23.264200, -23.264200
Ti, -37.071300, -37.136000, -37.200600, -37.200600
V, -46.601800, -46.680700, -46.759700, -46.759700
Cr, -47.378400, -47.465400, -47.552400, -47.552400
Mn, -71.119300, -71.198200, -71.277200, -71.277200
Fe, -80.057400, -80.122100, -80.186800, -80.186800
Co, -95.360300, -95.402300, -95.444400, -95.444400
Ni, -127.032100, -127.032100, -127.032100, -127.032100
Cu, -101.988700, -102.006600, -102.024500, -102.024500
Zn, -14.354800, -14.354800, -14.354800, -14.354800
Ga, -29.369600, -29.404500, -29.439500, -29.439500
Ge, -49.151500, -49.200900, -49.250300, -49.250300
As, -60.839300, -60.893100, -60.946900, -60.946900
Se, -84.812800, -84.862200, -84.911500, -84.911500
Br, -110.111700, -110.146600, -110.181600, -110.181600
Kr, -116.243200, -116.243200, -116.243200, -116.243200
Rb, -4.370600, -4.388500, -4.406400, -4.406400
Sr, -12.587000, -12.587000, -12.587000, -12.587000
Y, -32.451200, -32.493300, -32.535300, -32.535300
Zr, -35.537000, -35.601700, -35.666400, -35.666400
Nb, -48.318500, -48.397500, -48.476400, -48.476400
Mo, -48.388700, -48.475700, -48.562700, -48.562700
Tc, -67.388200, -67.467200, -67.546200, -67.546200
Ru, -82.056900, -82.121600, -82.186300, -82.186300
Rh, -105.946400, -105.988400, -106.030400, -106.030400
Pd, -119.998400, -119.998400, -119.998400, -119.998400
Ag, -103.995100, -104.013000, -104.030900, -104.030900
Cd, -14.505000, -14.505000, -14.505000, -14.505000
In, -30.589600, -30.624600, -30.659500, -30.659500
Sn, -54.675500, -54.724800, -54.774200, -54.774200
Sb, -58.793300, -58.847100, -58.900800, -58.900800
Te, -81.783100, -81.832500, -81.881900, -81.881900
I, -102.799900, -102.834800, -102.869800, -102.869800
Xe, -105.678000, -105.678000, -105.678000, -105.678000
Cs, -4.057000, -4.075000, -4.092900, -4.092900
Ba, -11.807100, -11.807100, -11.807100, -11.807100
La, -32.723900, -32.766000, -32.808000, -32.808000
Ce, -24.412700, -24.454800, -24.496800, -24.496800
Pr, -24.250000, -24.292000, -24.334000, -24.334000
Nd, -24.082300, -24.124400, -24.166400, -24.166400
Pm, -23.915000, -23.957000, -23.999100, -23.999100
Sm, -23.747700, -23.789700, -23.831800, -23.831800
Eu, -23.580500, -23.622500, -23.664500, -23.664500
Gd, -23.411600, -23.453700, -23.495700, -23.495700
Tb, -23.245900, -23.287900, -23.329900, -23.329900
Dy, -23.078500, -23.120500, -23.162600, -23.162600
Ho, -22.911400, -22.953400, -22.995400, -22.995400
Er, -22.744200, -22.786200, -22.828200, -22.828200
Tm, -22.577000, -22.619000, -22.661000, -22.661000
Yb, -22.409900, -22.451900, -22.493900, -22.493900
Lu, -22.241900, -22.283900, -22.325900, -22.325900
Hf, -35.573400, -35.638000, -35.702700, -35.702700
Ta, -51.682000, -51.761000, -51.839900, -51.839900
W, -60.102100, -60.189100, -60.276100, -60.276100
Re, -81.679500, -81.769100, -81.858700, -81.858700
Os, -83.426100, -83.490800, -83.555500, -83.555500
Ir, -99.121400, -99.163400, -99.205400, -99.205400
Pt, -120.749700, -120.749700, -120.749700, -120.749700
Au, -103.474800, -103.492700, -103.510600, -103.510600
Hg, -23.076400, -23.076400, -23.076400, -23.076400
Tl, -39.100000, -39.134900, -39.169900, -39.169900
Pb, -59.898700, -59.948100, -59.997400, -59.997400
Bi, -61.580600, -61.634300, -61.688100, -61.688100
Po, -74.318900, -74.368300, -74.417700, -74.417700
At, -81.600000, -81.634900, -81.669800, -81.669800
Rn, -104.978800, -104.978800, -104.978800, -104.978800
