# Atom, Total Energy [eV], Extrapolated to 0 K [eV], Total Mermin free energy [eV], Force related energy [eV]
H, -10.923500, -10.941400, -10.959300, -10.959300
He, -44.242000, -44.242000, -44.242000, -44.242000
Li, -7.271700, -7.289600, -7.307500, -7.307500
Be, -19.083100, -19.083100, -19.083100, -19.083100
B, -32.600800, -32.635800, -32.670700, -32.670700
C, -47.280000, -47.329400, -47.378700, -47.378700
N, -78.784000, -78.837700, -78.891500, -78.891500
O, -118.343000, -118.392300, -118.441700, -118.441700
F, -135.924400, -135.959400, -135.994300, -135.994300
Ne, -171.948800, -171.948800, -171.948800, -171.948800
Na, -4.726600, -4.744500, -4.762400, -4.762400
Mg, -19.942300, -19.942300, -19.942300, -19.942300
Al, -29.273900, -29.308900, -29.343800, -29.343800
Si, -44.127100, -44.176500, -44.225900, -44.225900
P, -65.890700, -65.944400, -65.998200, -65.998200
S, -96.118700, -96.168000, -96.217400, -96.217400
Cl, -113.323000, -113.357900, -113.392800, -113.392800
Ar, -167.268300, -167.268300, -167.268300, -167.268300
K, -5.864800, -5.882800, -5.900700, -5.900700
Ca, -15.960300, -15.960300, -15.960300, -15.960300
Sc, -26.439100, -26.481100, -26.523100, -26.523100
Ti, -31.132000, -31.196700, -31.261400, -31.261400
V, -38.033500, -38.112500, -38.191500, -38.191500
Cr, -44.067600, -44.154600, -44.241600, -44.241600
Mn, -55.573100, -55.675300, -55.777500, -55.777500
Fe, -77.398500, -77.463200, -77.527900, -77.527900
Co, -92.561800, -92.603800, -92.645900, -92.645900
Ni, -108.256300, -108.256300, -108.256300, -108.256300
Cu, -119.482400, -119.500300, -119.518300, -119.518300
Zn, -22.527100, -22.527100, -22.527100, -22.527100
Ga, -31.406300, -31.441200, -31.476200, -31.476200
Ge, -41.188400, -41.237800, -41.287200, -41.287200
As, -59.848800, -59.902600, -59.956300, -59.956300
Se, -87.596000, -87.645400, -87.694700, -87.694700
Br, -103.844900, -103.879800, -103.914800, -103.914800
Kr, -131.761000, -131.761000, -131.761000, -131.761000
Rb, -7.721300, -7.739200, -7.757100, -7.757100
Sr, -13.683500, -13.683500, -13.683500, -13.683500
Y, -23.229700, -23.271800, -23.313800, -23.313800
Zr, -27.080400, -27.167400, -27.254400, -27.254400
Nb, -46.257800, -46.359600, -46.461500, -46.461500
Mo, -48.186700, -48.293100, -48.399600, -48.399600
Tc, -60.150500, -60.229500, -60.308400, -60.308400
Ru, -87.441800, -87.506500, -87.571200, -87.571200
Rh, -106.461100, -106.503100, -106.545100, -106.545100
Pd, -119.918000, -119.918000, -119.918000, -119.918000
Ag, -102.407000, -102.424900, -102.442800, -102.442800
Cd, -24.198800, -24.198800, -24.198800, -24.198800
In, -38.425000, -38.454100, -38.483200, -38.483200
Sn, -63.610300, -63.659700, -63.709000, -63.709000
Sb, -63.909500, -63.963200, -64.017000, -64.017000
Te, -99.904200, -99.953600, -100.002900, -100.002900
I, -105.687700, -105.722700, -105.757600, -105.757600
Xe, -115.164200, -115.164200, -115.164200, -115.164200
Cs, -6.575500, -6.593400, -6.611300, -6.611300
Ba, -12.911400, -12.911400, -12.911400, -12.911400
La, -18.876300, -18.918300, -18.960300, -18.960300
Ce, -17.583400, -17.625500, -17.667500, -17.667500
Pr, -17.491500, -17.533500, -17.575500, -17.575500
Nd, -17.395500, -17.437600, -17.479600, -17.479600
Pm, -17.299800, -17.341900, -17.383900, -17.383900
Sm, -17.204100, -17.246200, -17.288200, -17.288200
Eu, -17.108500, -17.150500, -17.192500, -17.192500
Gd, -17.011500, -17.053500, -17.095500, -17.095500
Tb, -16.917000, -16.959000, -17.001100, -17.001100
Dy, -16.821200, -16.863200, -16.905300, -16.905300
Ho, -16.725800, -16.767800, -16.809800, -16.809800
Er, -16.630200, -16.672200, -16.714200, -16.714200
Tm, -16.534600, -16.576600, -16.618600, -16.618600
Yb, -16.439100, -16.481100, -16.523100, -16.523100
Lu, -16.342800, -16.384800, -16.426800, -16.426800
Hf, -20.543700, -20.608300, -20.673000, -20.673000
Ta, -45.909300, -45.998900, -46.088500, -46.088500
W, -53.986300, -54.073300, -54.160300, -54.160300
Re, -54.456900, -54.535800, -54.614800, -54.614800
Os, -85.729600, -85.794200, -85.858900, -85.858900
Ir, -107.528800, -107.570800, -107.612900, -107.612900
Pt, -115.620800, -115.620800, -115.620800, -115.620800
Au, -106.177000, -106.194900, -106.212800, -106.212800
Hg, -24.905500, -24.905500, -24.905500, -24.905500
Tl, -30.258500, -30.293400, -30.328400, -30.328400
Pb, -40.690500, -40.739800, -40.789200, -40.789200
Bi, -56.607300, -56.661100, -56.714900, -56.714900
Po, -83.375500, -83.424900, -83.474200, -83.474200
At, -93.660200, -93.695200, -93.730100, -93.730100
Rn, -98.183200, -98.183200, -98.183200, -98.183200
